feature,importance,abs_importance
treatnum_211,0.0,0.0
treatnum_210,0.0,0.0
treatnum_104,0.0,0.0
treatnum_208,0.0,0.0
treatnum_207,0.0,0.0
treatnum_205,0.0,0.0
treatnum_204,0.0,0.0
treatnum_203,0.0,0.0
treatnum_202,0.0,0.0
treatnum_201,0.0,0.0
treatnum_199,0.0,0.0
treatnum_188,0.0,0.0
treatnum_209,0.0,0.0
path_t_7thed,0.0,0.0
path_n_7thed,0.0,0.0
path_m_7thed,0.0,0.0
lc_behav,0.0,0.0
clinical_m_7thed,0.0,0.0
work_related,0.0,0.0
bmi,0.0,0.0
family_history,0.0,0.0
comp_code_31,0.0,0.0
previous_canc,0.0,0.0
progsite_unk_ever,0.0,0.0
progsite_skin_ever,0.0,0.0
progsite_other_lung_ever,0.0,0.0
progsite_other_ever,0.0,0.0
progsite_orig_lung_ever,0.0,0.0
progsite_lymph_n3_ever,0.0,0.0
progsite_lymph_n2_ever,0.0,0.0
progsite_lymph_n1_ever,0.0,0.0
previous_diseases,0.0,0.0
comp_code_30,0.0,0.0
comp_code_29,0.0,0.0
comp_code_28,0.0,0.0
comp_code_26,0.0,0.0
comp_code_22,0.0,0.0
comp_code_21,0.0,0.0
comp_code_17,0.0,0.0
comp_code_16,0.0,0.0
comp_code_14,0.0,0.0
valcsg,0.0,0.0
comp_code_10,0.0,0.0
comp_code_9,0.0,0.0
comp_code_8,0.0,0.0
comp_code_7,0.0,0.0
comp_code_6,0.0,0.0
comp_code_3,0.0,0.0
comp_code_2,0.0,0.0
compcat,0.0,0.0
can_link,0.0,0.0
comp_code_11,0.0,0.0
enc_310,0.0,0.0
enc_309,0.0,0.0
enc_308,0.0,0.0
enc_307,0.0,0.0
enc_306,0.0,0.0
enc_305,0.0,0.0
enc_304,0.0,0.0
enc_303,0.0,0.0
enc_99,0.0,0.0
enc_301,0.0,0.0
enc_300,0.0,0.0
enc_299,0.0,0.0
enc_298,0.0,0.0
enc_297,0.0,0.0
enc_296,0.0,0.0
enc_295,0.0,0.0
enc_294,0.0,0.0
enc_293,0.0,0.0
enc_302,0.0,0.0
enc_330,0.0,0.0
enc_329,0.0,0.0
enc_328,0.0,0.0
enc_327,0.0,0.0
enc_326,0.0,0.0
enc_325,0.0,0.0
enc_324,0.0,0.0
enc_323,0.0,0.0
enc_311,0.0,0.0
enc_321,0.0,0.0
enc_320,0.0,0.0
enc_319,0.0,0.0
enc_318,0.0,0.0
enc_317,0.0,0.0
enc_316,0.0,0.0
enc_315,0.0,0.0
enc_314,0.0,0.0
enc_312,0.0,0.0
enc_322,0.0,0.0
enc_271,0.0,0.0
enc_270,0.0,0.0
enc_269,0.0,0.0
enc_268,0.0,0.0
enc_267,0.0,0.0
enc_266,0.0,0.0
enc_265,0.0,0.0
enc_264,0.0,0.0
enc_292,0.0,0.0
enc_262,0.0,0.0
enc_261,0.0,0.0
enc_260,0.0,0.0
enc_259,0.0,0.0
enc_258,0.0,0.0
enc_257,0.0,0.0
enc_256,0.0,0.0
enc_255,0.0,0.0
enc_254,0.0,0.0
enc_263,0.0,0.0
enc_291,0.0,0.0
