feature,importance
enc_831,0.0
enc_816,0.0
enc_817,0.0
enc_818,0.0
enc_819,0.0
enc_822,0.0
enc_823,0.0
enc_824,0.0
enc_844,0.0
enc_845,0.0
enc_846,0.0
enc_847,0.0
enc_832,0.0
enc_834,0.0
enc_835,0.0
enc_836,0.0
enc_838,0.0
enc_839,0.0
enc_888,0.0
enc_892,0.0
canctran,0.0
enc_894,0.0
enc_895,0.0
enc_880,0.0
enc_881,0.0
enc_882,0.0
enc_883,0.0
enc_884,0.0
enc_885,0.0
enc_887,0.0
enc_872,0.0
enc_873,0.0
enc_874,0.0
enc_893,0.0
fambrother,0.0
famchild,0.0
famfather,0.0
fammother,0.0
famsister,0.0
canccerv,0.0
canccolo,0.0
cancesop,0.0
canckidn,0.0
canclary,0.0
canclung,0.0
cancnasa,0.0
enc_841,0.0
enc_24,0.0
enc_25,0.0
enc_26,0.0
enc_27,0.0
enc_28,0.0
enc_29,0.0
enc_30,0.0
enc_16,0.0
enc_17,0.0
enc_19,0.0
enc_852,0.0
enc_855,0.0
enc_840,0.0
cancoral,0.0
enc_264,0.0
enc_265,0.0
enc_266,0.0
enc_267,0.0
enc_268,0.0
enc_269,0.0
enc_270,0.0
enc_271,0.0
enc_256,0.0
enc_257,0.0
enc_258,0.0
enc_95,0.0
enc_261,0.0
enc_263,0.0
enc_312,0.0
enc_314,0.0
enc_316,0.0
enc_317,0.0
enc_318,0.0
enc_319,0.0
enc_306,0.0
enc_308,0.0
enc_309,0.0
enc_310,0.0
enc_259,0.0
enc_244,0.0
enc_245,0.0
enc_247,0.0
enc_232,0.0
enc_233,0.0
enc_234,0.0
enc_236,0.0
enc_237,0.0
enc_224,0.0
enc_225,0.0
enc_226,0.0
enc_227,0.0
enc_279,0.0
enc_229,0.0
enc_231,0.0
enc_280,0.0
enc_282,0.0
enc_283,0.0
enc_284,0.0
enc_286,0.0
enc_287,0.0
enc_273,0.0
enc_275,0.0
enc_276,0.0
enc_277,0.0
enc_228,0.0
enc_103,0.0
enc_153,0.0
enc_154,0.0
enc_156,0.0
enc_157,0.0
enc_144,0.0
enc_146,0.0
enc_147,0.0
enc_340,0.0
enc_341,0.0
enc_342,0.0
enc_296,0.0
enc_329,0.0
enc_330,0.0
enc_332,0.0
enc_334,0.0
enc_335,0.0
enc_320,0.0
enc_322,0.0
enc_323,0.0
enc_324,0.0
enc_325,0.0
enc_326,0.0
enc_327,0.0
enc_328,0.0
enc_297,0.0
enc_299,0.0
enc_300,0.0
enc_302,0.0
enc_288,0.0
enc_289,0.0
enc_290,0.0
enc_291,0.0
enc_295,0.0
enc_344,0.0
enc_345,0.0
enc_346,0.0
enc_102,0.0
enc_351,0.0
enc_337,0.0
enc_338,0.0
enc_339,0.0
enc_116,0.0
enc_117,0.0
enc_119,0.0
enc_104,0.0
enc_106,0.0
enc_107,0.0
enc_108,0.0
enc_101,0.0
enc_349,0.0
enc_974,0.0
enc_975,0.0
wrkfire,0.0
enc_961,0.0
enc_962,0.0
enc_999,0.0
cancbrea,0.0
enc_966,0.0
smokework,0.0
wrkcott,0.0
locrup,0.0
enc_179,0.0
enc_988,0.0
enc_989,0.0
locrmsb,0.0
enc_977,0.0
enc_978,0.0
enc_979,0.0
enc_180,0.0
enc_168,0.0
enc_169,0.0
enc_171,0.0
enc_172,0.0
enc_173,0.0
enc_986,0.0
locrhil,0.0
enc_967,0.0
pipe,0.0
smokeday,0.0
enc_935,0.0
diaghype,0.0
diagpneu,0.0
diagsarc,0.0
diagsili,0.0
diagstro,0.0
diagtube,0.0
cancblad,0.0
enc_973,0.0
diagchas,0.0
diagchro,0.0
diagcopd,0.0
enc_980,0.0
educat,0.0
enc_982,0.0
enc_983,0.0
enc_968,0.0
enc_1023,0.0
