PID,embedding
126823,"[-0.07189646 -0.01161857  0.02043775 ...  0.01481526 -0.00797541
 -0.03847508]"
106926,"[-0.06729709 -0.0178527   0.00692403 ... -0.01719448  0.02075607
 -0.0472068 ]"
109852,"[-0.03032191 -0.03327842 -0.02412966 ... -0.00562883 -0.0244357
 -0.05130969]"
112893,"[-0.06113533 -0.00181582  0.03633047 ...  0.01232116 -0.00205032
 -0.04626943]"
112851,"[-0.06681388 -0.01128611 -0.00260941 ... -0.00438518 -0.00189501
 -0.03375216]"
108061,"[-0.04316415 -0.01401521  0.01178471 ...  0.02824689 -0.01186629
 -0.03484382]"
103621,"[-0.06042076 -0.01141391  0.01638261 ...  0.0160399   0.01098293
 -0.05687617]"
104063,"[-0.05898279 -0.01495415  0.00203672 ... -0.00127571 -0.04104694
 -0.03619699]"
105562,"[-0.06452386 -0.01039884 -0.00422353 ... -0.01097637 -0.01300528
 -0.02022471]"
105713,"[-0.04941677 -0.03656856  0.0203466  ...  0.01296168 -0.00746793
 -0.05505781]"
108766,"[-0.05892249 -0.01711969 -0.00063196 ...  0.01206675 -0.01670239
 -0.03519218]"
113176,"[-0.0842814  -0.01573886  0.02019746 ...  0.01420342 -0.00223845
 -0.0275012 ]"
122590,"[-0.06642263 -0.01723412  0.01725357 ... -0.00891665  0.02810078
 -0.03711686]"
117820,"[-0.06047108 -0.00568023  0.0169869  ...  0.01040968 -0.01527238
 -0.03390923]"
110866,"[-0.06590445 -0.0052033   0.01690613 ...  0.0194932  -0.01148055
 -0.03348772]"
120289,"[-0.05635094 -0.01892849  0.00783169 ...  0.00951671 -0.01366908
 -0.02133632]"
118672,"[-0.08049724 -0.02712544  0.01807235 ...  0.00738939 -0.02167366
 -0.0045264 ]"
102136,"[-0.06679393 -0.00514127  0.03294173 ...  0.02585539  0.01475425
 -0.02628078]"
126967,"[-0.07023687  0.00644234  0.02594024 ...  0.03301603 -0.01001634
 -0.02429498]"
101192,"[-0.0457981  -0.02327519 -0.00379074 ...  0.00707745 -0.00349405
 -0.02312408]"
